Rxn name;Rxn description;Formula;Formula;Gene-reaction association;Genes;Proteins;Subsystem;Reversible;LB;UB;Objective;Confidence Score;EC Number;Notes;References
3_4DHBZ1t_pp_;3 4 dihidroxy benzoate reversible trasporter via proton symport;h[p] + 34dhbz[p]  <=> h[c] + 34dhbz[c] ;cpd00067 + cpd00197  <=> cpd00067 + cpd00197 ;;;;B Ketoadipate pathway;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3_4DHBZt2;Protocatechuate outher membrane transport;34dhbz[e]  <=> 34dhbz[p] ;cpd00197  <=> cpd00197 ;;;;B Ketoadipate pathway;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
4CMCOAS;feruloyl coenzyme A synthetase AMP forming ;atp[c] + coa[c] + T4hcinnm[c]  -> 4cmcoa[c] + amp[c] + ppi[c] ;cpd00002 + cpd00010 + cpd00604  -> cpd00192 + cpd00018 + cpd00012 ;;;;B Ketoadipate pathway;0;0;1000;0;2;;Based on iJN746;PMID:18793442
4CMLCL_kt;4 carboxymuconolactone decarboxylase;h[c] + 4cml[c]  -> co2[c] + 5odhf2a[c] ;cpd00067 + cpd00938  -> cpd00011 + cpd02255 ;PSPTO_4255;PSPTO_4255;;B Ketoadipate pathway;0;0;1000;0;2;4.1.1.44;Based on iJN746;PMID:18793442
4HTHRS;4 Hydroxy L threonine synthase;h2o[c] + phthr[c]  -> 4hthr[c] + pi[c] ;cpd00001 + cpd03607  -> cpd03608 + cpd00009 ;PSPTO_1481;PSPTO_1481;thrC;Vitamin B6 Metabolism;0;0;1000;0;2;4.2.3.1;Based on iJN746;PMID:18793442
AASAD3;L aminoadipate semialdehyde dehydrogenase NADH ;h2o[c] + L2aadp6sa[c] + nad[c]  -> 2 h[c] + L2aadp[c] + nadh[c] ;cpd00001 + cpd02522 + cpd00003  -> 2 cpd00067 + cpd00705 + cpd00004 ;;;;Lysine Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ABTAr;4 aminobutyrate transaminase;4abut[c] + akg[c]  <=> glu_L[c] + sucsal[c] ;cpd00281 + cpd00024  <=> cpd00023 + cpd00199 ;;;;Glutamate Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ABUTt2pp;4 aminobutyrate transport in via proton symport periplasm ;h[p] + 4abut[p]  -> h[c] + 4abut[c] ;cpd00067 + cpd00281  -> cpd00067 + cpd00281 ;;;;Transport;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ACACT1r;acetyl CoA C acetyltransferase;2 accoa[c]  <=> coa[c] + aacoa[c] ;2 cpd00022  <=> cpd00010 + cpd00279 ;;;;Fatty Acid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACBIPGT;Adenosyl cobinamide phosphate guanyltransferase;h[c] + adocbip[c] + gtp[c]  -> ppi[c] + agdpcbi[c] ;cpd00067 + cpd03919 + cpd00038  -> cpd00012 + cpd03920 ;;;;Porphyrin and Chlorophyll Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ACCOACr;acetyl CoA carboxylase reversible reaction;atp[c] + accoa[c] + hco3[c]  <=> h[c] + adp[c] + pi[c] + malcoa[c] ;cpd00002 + cpd00022 + cpd00242  <=> cpd00067 + cpd00008 + cpd00009 + cpd00070 ;;;;Fatty Acid Biosynthesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACGK;acetylglutamate kinase;atp[c] + acglu[c]  -> adp[c] + acg5p[c] ;cpd00002 + cpd00477  -> cpd00008 + cpd02552 ;Pspto_0082;Pspto_0082;argB;Urea cycleamino group metabolism;0;0;1000;0;2;2.7.2.8;Based on iJN746;PMID:18793442
ACGS;N acetylglutamate synthase;accoa[c] + glu_L[c]  -> h[c] + coa[c] + acglu[c] ;cpd00022 + cpd00023  -> cpd00067 + cpd00010 + cpd00477 ;Pspto_4399  or Pspto_0324;Pspto_4399 . Pspto_0324;argJ. argA;Urea cycleamino group metabolism;0;0;1000;0;2;2.3.1.1;Based on iJN746;PMID:18793442
ACHBS;2 aceto 2 hydroxybutanoate synthase;h[c] + 2obut[c] + pyr[c]  -> co2[c] + 2ahbut[c] ;cpd00067 + cpd00094 + cpd00020  -> cpd00011 + cpd00498 ;PSPTO_0981 and PSPTO_0982;PSPTO_0981 and PSPTO_0982;ilvB and ilvN;Valine Leucine and Isoleucine Metabolism;0;0;1000;0;2;2.2.1.6;Based on iJN746;PMID:18793442
ACLS;acetolactate synthase;h[c] + 2 pyr[c]  -> co2[c] + alac_S[c] ;cpd00067 + 2 cpd00020  -> cpd00011 + cpd00668 ;;;;Pantothenate and CoA Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ACOAD1f;acyl CoA dehydrogenase butanoyl CoA ;btcoa[c] + fad[c]  <=> b2coa[c] + fadh2[c] ;cpd00120 + cpd00015  <=> cpd00650 + cpd00982 ;;;;Fatty Acid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACOAD2f;acyl CoA dehydrogenase hexanoyl CoA ;fad[c] + hxcoa[c]  <=> fadh2[c] + hx2coa[c] ;cpd00015 + cpd03124  <=> cpd00982 + cpd03125 ;;;;Fatty Acid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACOAD3f;acyl CoA dehydrogenase octanoyl CoA ;fad[c] + occoa[c]  <=> fadh2[c] + oc2coa[c] ;cpd00015 + cpd01335  <=> cpd00982 + cpd03130 ;;;;Fatty Acid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACOAD4f;acyl CoA dehydrogenase decanoyl CoA ;fad[c] + dcacoa[c]  <=> fadh2[c] + dc2coa[c] ;cpd00015 + cpd03128  <=> cpd00982 + cpd03129 ;;;;Fatty Acid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACOAD5f;acyl CoA dehydrogenase dodecanoyl CoA ;fad[c] + ddcacoa[c]  <=> fadh2[c] + dd2coa[c] ;cpd00015 + cpd01260  <=> cpd00982 + cpd02060 ;;;;Fatty Acid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACOAD6f;acyl CoA dehydrogenase tetradecanoyl CoA ;fad[c] + tdcoa[c]  <=> fadh2[c] + td2coa[c] ;cpd00015 + cpd01695  <=> cpd00982 + cpd03127 ;;;;Fatty Acid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACOAD7f;acyl CoA dehydrogenase hexadecanoyl CoA ;fad[c] + pmtcoa[c]  <=> fadh2[c] + hdd2coa[c] ;cpd00015 + cpd00134  <=> cpd00982 + cpd03126 ;;;;Fatty Acid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACOATA;Acetyl CoA ACP transacylase;ACP[c] + accoa[c]  <=> coa[c] + acACP[c] ;cpd11493 + cpd00022  <=> cpd00010 + cpd11494 ;;;;Fatty Acid Biosynthesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACODA;acetylornithine deacetylase;h2o[c] + acorn[c]  -> ac[c] + orn[c] ;cpd00001 + cpd00342  -> cpd00029 + cpd00064 ;Pspto_0256  or Pspto_0323;Pput_5093;argE-1 and argE-2;Urea cycleamino group metabolism;0;0;1000;0;2;3.5.1.16;Based on iJN746;PMID:18793442
ACONCtex;cis aconitate transport external;acon_C[e]  <=> acon_C[p] ;cpd00331  <=> cpd00331 ;;;;Transport;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACONT;aconitase;cit[c]  <=> icit[c] ;cpd00137  <=> cpd00260 ;;;;TCA Cycle;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACONTa;aconitase half reaction A Citrate hydro lyase ;cit[c]  <=> h2o[c] + acon_C[c] ;cpd00137  <=> cpd00001 + cpd00331 ;;;;TCA Cycle;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACONTb;aconitase half reaction B Isocitrate hydro lyase ;h2o[c] + acon_C[c]  <=> icit[c] ;cpd00001 + cpd00331  <=> cpd00260 ;;;;TCA Cycle;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ACOTA;acetylornithine transaminase;akg[c] + acorn[c]  <=> glu_L[c] + acg5sa[c] ;cpd00024 + cpd00342  <=> cpd00023 + cpd00918 ;Pspto_1832;Pspto_1832;argD-1;Urea cycleamino group metabolism;1;-1000;1000;0;2;2.6.1.81;Based on iJN746;PMID:18793442
ACS2;acetyl CoA synthase propionate ;atp[c] + coa[c] + ppa[c]  -> amp[c] + ppi[c] + ppcoa[c] ;cpd00002 + cpd00010 + cpd00141  -> cpd00018 + cpd00012 + cpd00086 ;;;;Propanoate Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ACSr;acetyl CoA synthetase reversible;atp[c] + coa[c] + ac[c]  <=> accoa[c] + amp[c] + ppi[c] ;cpd00002 + cpd00010 + cpd00029  <=> cpd00022 + cpd00018 + cpd00012 ;PSPTO_1825;PSPTO_1825;acs;Gluconeogenesis;1;-1000;1000;0;2;6.2.1.1;Based on iJN746;PMID:18793442
ACt2pp;acetate transport in via proton symport;h[p] + ac[p]  -> h[c] + ac[c] ;cpd00067 + cpd00029  -> cpd00067 + cpd00029 ;;;;Transport;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ADA;Adenosine deaminase;h[c] + h2o[c] + adn[c]  -> ins[c] + nh4[c] ;cpd00067 + cpd00001 + cpd00182  -> cpd00246 + cpd00013 ;;;;Purine Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ADCL;4 aminobenzoate synthase;4adcho[c]  -> h[c] + pyr[c] + 4abz[c] ;cpd08210  -> cpd00067 + cpd00020 + cpd00443 ;;;;Folate Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ADCPS1;adenosylcobinamide phosphate synthase;atp[c] + adcobhex[c] + appl[c]  -> h[c] + adp[c] + pi[c] + adocbi[c] ;cpd00002 + cpd03917 + cpd02039  -> cpd00067 + cpd00008 + cpd00009 + cpd03918 ;;;;Porphyrin and Chlorophyll Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ADCPS2;adenosylcobinamide phosphate synthase;atp[c] + adcobhex[c] + applp[c]  -> h[c] + adp[c] + pi[c] + adocbip[c] ;cpd00002 + cpd03917 + cpd02547  -> cpd00067 + cpd00008 + cpd00009 + cpd03919 ;;;;Porphyrin and Chlorophyll Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ADCYRS;adenosylcobyric acid synthase glutamine hydrolysing ;4 atp[c] + 4 h2o[c] + adcobdam[c] + 4 gln_L[c]  -> 4 h[c] + 4 adp[c] + 4 pi[c] + 4 glu_L[c] + adcobhex[c] ;4 cpd00002 + 4 cpd00001 + cpd03916 + 4 cpd00053  -> 4 cpd00067 + 4 cpd00008 + 4 cpd00009 + 4 cpd00023 + cpd03917 ;;;;Porphyrin and Chlorophyll Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ADK1;adenylate kinase;atp[c] + amp[c]  <=> 2 adp[c] ;cpd00002 + cpd00018  <=> 2 cpd00008 ;;;;Purine Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ADNCYC;adenylate cyclase;atp[c]  <=> ppi[c] + camp[c] ;cpd00002  <=> cpd00012 + cpd00446 ;PSPTO_0322;PSPTO_0322;;Purine Metabolism;0;0;1000;0;2;4.6.1.1;Based on iJN746;PMID:18793442
ADOCBIK;Adenosyl cobinamide kinase;atp[c] + adocbi[c]  -> h[c] + adp[c] + adocbip[c] ;cpd00002 + cpd03918  -> cpd00067 + cpd00008 + cpd03919 ;;;;Porphyrin and Chlorophyll Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ADOCBLS;Adenosylcobalamin 5 phosphate synthase;agdpcbi[c] + rdmbzi[c]  -> h[c] + adocbl[c] + gmp[c] ;cpd03920 + cpd03423  -> cpd00067 + cpd00166 + cpd00126 ;;;;Porphyrin and Chlorophyll Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ADPT;adenine phosphoribosyltransferase;ade[c] + prpp[c]  -> amp[c] + ppi[c] ;cpd00128 + cpd00103  -> cpd00018 + cpd00012 ;PSPTO_1990;PSPTO_1990;apt;Purine Metabolism;0;0;1000;0;2;2.4.2.7;Based on iJN746;PMID:18793442
ADPT2;adenine phosphoribosyltransferase;ppi[c] + aicar[c]  <=> prpp[c] + ppi[c] ;cpd00012 + cpd02851  <=> cpd00103 + cpd00012 ;PSPTO_1990;PSPTO_1990;apt;Purine Metabolism;1;-1000;1000;0;2;2.4.2.7;Based on iJN746;PMID:18793442
ADSL1r;adenylsuccinate lyase;dcamp[c]  --> amp[c] + fum[c] ;cpd02375  --> cpd00018 + cpd00106 ;PSPTO_3360;PSPTO_3360;purB;Purine Metabolism;1;-1000;1000;0;2;4.3.2.2;Based on iJN746;PMID:18793442
